count,mean,std,min,25%,50%,75%,max
55.0,146458181.8181818,114681091.93971275,9500000.0,56200000.0,110800000.0,211500000.0,459000000.0
57.0,123392982.45614035,125671777.51651482,4400000.0,38400000.0,90800000.0,159600000.0,678800000.0
74.0,123416513.5,143365905.59789923,22000.0,38225000.0,69700000.0,144775000.0,700100000.0
61.0,166560655.72131148,123828190.49301684,12700000.0,56100000.0,126500000.0,259800000.0,459000000.0
67.0,127562686.5522388,116828319.83645159,2200000.0,49800000.0,90800000.0,173800000.0,678800000.0
62.0,153272580.6451613,152765288.91783345,16000000.0,58525000.0,98950000.0,179400000.0,700100000.0
59.0,110023728.79661018,106504377.98507664,1800000.0,40850000.0,67000000.0,124699999.5,389800000.0
79.0,86691139.2278481,70494684.63710769,3700000.0,32350000.0,65000000.0,121450000.0,270400000.0
78.0,100339743.56410256,90358673.95204419,7200000.0,41225000.0,76950000.0,130700000.0,486300000.0
