tconst,title,genres,averagerating,numvotes,studio,domestic_gross,popularity,release_date,vote_average,vote_count,month
tt3065204,The Conjuring 2,"['Drama', 'Horror', 'Mystery']",7.4,194543,WB (NL),102500000.0,19.058,2016-06-10,7.2,4153,6
tt3072482,Hardcore Henry,"['Action', 'Adventure', 'Sci-Fi']",6.7,78226,STX,9300000.0,10.459000000000001,2016-04-06,6.2,1294,4
tt3110958,Now You See Me 2,"['Action', 'Adventure', 'Comedy']",6.5,216219,LG/S,65099999.0,25.805,2016-06-10,6.8,6744,6
tt3110960,Jimmy's Hall,"['Biography', 'Drama', 'History']",6.7,5241,SPC,561000.0,5.566,2014-05-30,6.7,82,5
tt3121332,Nasty Baby,['Drama'],5.6,2099,Orch.,79800.0,4.5489999999999995,2015-10-23,5.3,32,10
tt3152624,Trainwreck,"['Comedy', 'Drama', 'Romance']",6.2,121860,Uni.,110200000.0,18.423,2015-07-17,5.8,1731,7
tt3165612,Sleeping with Other People,"['Comedy', 'Drama', 'Romance']",6.5,36105,IFC,819000.0,8.392000000000001,2015-09-11,6.3,517,9
tt3179568,"Men, Women & Children","['Comedy', 'Drama']",6.7,28110,Par.,706000.0,8.658,2014-10-17,6.5,518,10
tt3205376,Slow West,"['Adventure', 'Western']",6.9,38237,A24,229000.0,9.669,2015-04-16,6.7,532,4
tt3289956,The Autopsy of Jane Doe,"['Horror', 'Mystery', 'Thriller']",6.8,76339,IFC,10500.0,13.61,2016-12-21,6.5,1869,12
tt3316948,American Ultra,"['Action', 'Comedy', 'Sci-Fi']",6.1,76769,LGF,14400000.0,9.97,2015-08-21,6.0,1756,8
tt3322940,Annabelle,"['Horror', 'Mystery', 'Thriller']",5.4,122039,WB (NL),84300000.0,13.989,2014-10-03,5.6,3357,10
tt3348730,Jigsaw,"['Crime', 'Horror', 'Mystery']",5.8,57184,LGF,38100000.0,17.398,2017-10-27,6.1,1887,10
tt3385516,X-Men: Apocalypse,"['Action', 'Adventure', 'Sci-Fi']",7.0,356556,Fox,155400000.0,39.293,2016-05-27,6.5,8348,5
tt3397884,Sicario,"['Action', 'Crime', 'Drama']",7.6,328548,LGF,46900000.0,20.468,2015-09-18,7.3,4475,9
tt3401882,Fist Fight,['Comedy'],5.6,35136,WB (NL),32200000.0,9.808,2017-02-17,6.0,708,2
tt3442990,Lila & Eve,"['Crime', 'Drama', 'Mystery']",5.8,7194,Gold.,38300.0,6.107,2015-07-31,5.7,136,7
tt3460252,The Hateful Eight,"['Crime', 'Drama', 'Mystery']",7.8,434966,Wein.,54100000.0,20.680999999999997,2015-12-25,7.7,8065,12
tt3470600,Sing,"['Animation', 'Comedy', 'Family']",7.1,115951,Uni.,270400000.0,17.572,2016-12-21,6.9,4303,12
tt3498820,Captain America: Civil War,"['Action', 'Adventure', 'Sci-Fi']",7.8,583507,BV,408100000.0,39.137,2016-05-06,7.4,14000,5
tt3521164,Moana,"['Adventure', 'Animation', 'Comedy']",7.6,224253,BV,248800000.0,1.96,2015-11-13,6.5,16,11
tt3522806,Mechanic: Resurrection,"['Action', 'Adventure', 'Thriller']",5.7,67275,LG/S,21200000.0,16.302,2016-08-26,5.6,1929,8
tt3553442,Whiskey Tango Foxtrot,"['Biography', 'Comedy', 'Drama']",6.6,46265,Par.,23100000.0,8.564,2016-03-04,6.2,596,3
tt3554418,Khoobsurat,"['Comedy', 'Romance']",6.4,6811,UTV,711000.0,4.768,2014-09-19,6.8,66,9
tt3605418,Knock Knock,"['Drama', 'Thriller']",4.9,68328,LGP,36300.0,17.867,2015-10-09,5.0,1490,10
tt3640424,Allied,"['Action', 'Drama', 'Romance']",7.1,125741,Par.,40100000.0,19.611,2016-11-23,6.7,2765,11
tt3659388,The Martian,"['Adventure', 'Drama', 'Sci-Fi']",8.0,680116,Fox,228400000.0,22.855999999999998,2015-10-02,7.7,12172,10
tt3682448,Bridge of Spies,"['Drama', 'History', 'Thriller']",7.6,263004,BV,72300000.0,12.835999999999999,2015-10-16,7.2,4313,10
tt3691740,The BFG,"['Adventure', 'Family', 'Fantasy']",6.4,69340,BV,55500000.0,20.08,2016-07-01,6.2,1916,7
tt4255304,The Void,"['Horror', 'Mystery', 'Sci-Fi']",5.8,25143,Scre.,151000.0,11.54,2017-04-07,5.8,521,4
tt3717252,Underworld: Blood Wars,"['Action', 'Adventure', 'Fantasy']",5.8,62942,SGem,30400000.0,18.976,2017-01-06,5.5,2318,1
tt3721936,American Honey,"['Adventure', 'Drama', 'Romance']",7.0,31663,A24,663000.0,8.777999999999999,2016-09-30,6.7,417,9
tt3731562,Kong: Skull Island,"['Action', 'Adventure', 'Fantasy']",6.6,237720,WB,168100000.0,29.388,2017-03-10,6.3,6054,3
tt3783958,La La Land,"['Comedy', 'Drama', 'Music']",8.0,436070,LG/S,151100000.0,16.275,2016-12-09,7.9,10028,12
tt3799694,The Nice Guys,"['Action', 'Comedy', 'Crime']",7.4,240337,WB,36300000.0,13.743,2016-05-20,7.1,4272,5
tt3824458,Tangerine,"['Comedy', 'Crime', 'Drama']",7.1,23133,Magn.,702000.0,6.94,2015-07-10,7.0,314,7
tt3832914,War Room,['Drama'],6.5,11716,TriS,67800000.0,7.419,2015-08-28,7.5,171,8
tt3850590,Krampus,"['Comedy', 'Fantasy', 'Horror']",6.2,55400,Uni.,42700000.0,9.417,2015-12-04,6.0,1046,12
tt3863552,Bajrangi Bhaijaan,"['Action', 'Comedy', 'Drama']",8.0,63747,Eros,8199999.0,7.122000000000001,2015-07-17,7.9,232,7
tt3949660,Teenage Mutant Ninja Turtles: Out of the Shadows,"['Action', 'Adventure', 'Comedy']",6.0,77234,Par.,82100000.0,15.095999999999998,2016-06-03,5.9,1860,6
tt3958034,Don't Breathe,['Documentary'],6.6,43,SGem,89200000.0,12.140999999999998,2016-08-26,6.9,3662,8
tt3966404,Mustang,['Drama'],7.6,30899,Cohen,845000.0,7.459,2015-11-20,8.0,755,11
tt4005402,Colonia,"['Drama', 'Romance', 'Thriller']",7.1,41738,Scre.,15700.0,10.137,2016-04-15,7.4,1103,4
tt4034228,Manchester by the Sea,['Drama'],7.8,214557,RAtt.,47700000.0,16.637999999999998,2016-11-18,7.5,3176,11
tt4046784,Maze Runner: The Scorch Trials,"['Action', 'Sci-Fi', 'Thriller']",6.3,201143,Fox,81700000.0,17.31,2015-09-18,6.6,6365,9
tt4196776,Jason Bourne,"['Action', 'Thriller']",6.6,190596,Uni.,162400000.0,14.568,2016-07-29,6.1,3611,7
tt4291590,Evolution,"['Drama', 'Mystery', 'Sci-Fi']",6.0,5266,IFC,24800.0,4.208,2015-09-14,6.3,73,9
tt4302938,Kubo and the Two Strings,"['Action', 'Adventure', 'Animation']",7.8,105578,Focus,48000000.0,13.847000000000001,2016-08-19,7.7,2029,8
tt4572514,Patriots Day,"['Action', 'Crime', 'Drama']",7.4,76204,LGF,31900000.0,15.435,2016-12-21,6.9,1337,12
tt4624424,Storks,"['Adventure', 'Animation', 'Comedy']",6.8,50448,WB,72700000.0,12.100999999999999,2016-09-23,6.5,1308,9
tt4651520,Bad Moms,['Comedy'],6.2,100952,STX,113300000.0,14.332,2016-07-29,6.5,2600,7
tt4698684,Hunt for the Wilderpeople,"['Adventure', 'Comedy', 'Drama']",7.9,87532,Orch.,5200000.0,12.545,2016-06-24,7.8,915,6
tt4799066,Midnight Sun,"['Drama', 'Romance']",6.6,16220,Global Road,9600000.0,4.145,2014-09-01,6.0,38,9
tt5052448,Get Out,"['Horror', 'Mystery', 'Thriller']",7.7,400474,Uni.,176000000.0,0.8340000000000001,2010-02-01,5.5,8,2
tt5325452,Boo! A Madea Halloween,"['Comedy', 'Drama', 'Horror']",4.6,6867,LGF,73200000.0,7.141,2016-10-21,5.3,280,10
tt5758778,Skyscraper,"['Action', 'Adventure', 'Thriller']",5.8,81193,Uni.,68400000.0,26.229,2018-07-13,6.1,2177,7
tt6333056,City of Ghosts,"['Documentary', 'War']",7.4,2925,IFC,128000.0,4.341,2017-07-14,7.1,24,7
tt8097306,Nobody's Fool,"['Comedy', 'Drama', 'Romance']",4.6,3618,Par.,31700000.0,12.276,2018-11-02,5.9,96,11
