tconst,title,genres,averagerating,numvotes,studio,domestic_gross,popularity,release_date,vote_average,vote_count,month,Adventure,Drama,Romance,Action,Crime,Sci-fi,Comedy,Family,Animation,Thriller,Mystery,Horror,Biography,History,Fantasy,Music,War,Sport
tt1924394,The Angels' Share,"['Comedy', 'Crime', 'Drama']",7.0,21686,IFC,347000.0,6.315,2012-06-27,7.1,243,6,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
tt1924435,Let's Be Cops,"['Comedy', 'Crime']",6.4,121633,Fox,82400000.0,18.395,2014-08-13,6.3,1693,8,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
tt1931435,The Big Wedding,"['Comedy', 'Drama', 'Romance']",5.6,44221,LGF,21800000.0,11.231,2013-04-25,5.8,678,4,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
tt1935859,Miss Peregrine's Home for Peculiar Children,"['Adventure', 'Drama', 'Fantasy']",6.7,140619,Fox,87200000.0,19.132,2016-09-30,6.7,6211,9,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
tt1945037,Begin Again,"['Drama', 'Family']",7.0,57,Wein.,16200000.0,10.828,2014-07-11,7.2,2089,7,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
tt1951216,The Look of Love,"['Biography', 'Comedy', 'Drama']",6.0,6263,IFC,21300.0,5.69,2013-07-07,5.5,57,7,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
tt1951261,The Hangover Part III,"['Adventure', 'Comedy', 'Crime']",5.8,270695,WB,112200000.0,18.519000000000002,2013-05-23,6.1,5130,5,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
tt1951264,The Hunger Games: Catching Fire,"['Action', 'Adventure', 'Sci-Fi']",7.5,575455,LGF,424700000.0,20.187,2013-11-22,7.4,11170,11,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
tt1951265,The Hunger Games: Mockingjay - Part 1,"['Action', 'Adventure', 'Sci-Fi']",6.6,379050,LGF,337100000.0,33.836999999999996,2014-11-21,6.8,10087,11,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
tt1951266,The Hunger Games: Mockingjay - Part 2,"['Action', 'Adventure', 'Sci-Fi']",6.6,252384,LGF,281700000.0,19.487000000000002,2015-11-18,6.8,7609,11,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
tt1956620,Sex Tape,"['Comedy', 'Romance']",5.1,100520,Sony,38500000.0,20.429000000000002,2014-07-18,5.3,2684,7,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
tt1964418,Tomorrowland,"['Action', 'Adventure', 'Family']",6.4,161343,BV,93400000.0,20.136,2015-05-22,6.2,4610,5,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
tt1971352,Compliance,"['Biography', 'Crime', 'Drama']",6.4,28703,Magn.,319000.0,6.93,2012-08-24,6.4,340,8,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
tt1972591,King Arthur: Legend of the Sword,"['Action', 'Adventure', 'Drama']",6.8,169054,WB,39200000.0,21.793000000000003,2017-05-12,6.5,3305,5,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt1976000,The Two Faces of January,"['Romance', 'Thriller']",6.2,27542,Magn.,507000.0,7.54,2014-08-08,5.8,396,8,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
tt1979388,The Good Dinosaur,"['Adventure', 'Animation', 'Comedy']",6.7,91465,BV,123100000.0,17.675,2015-11-25,6.7,3135,11,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
tt1981115,Thor: The Dark World,"['Action', 'Adventure', 'Fantasy']",6.9,540996,BV,206400000.0,31.014,2013-11-08,6.7,10171,11,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
tt1985966,Cloudy with a Chance of Meatballs 2,"['Adventure', 'Animation', 'Comedy']",6.4,81010,Sony,119800000.0,18.335,2013-09-27,6.4,1679,9,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
tt1986953,Storage 24,"['Action', 'Horror', 'Mystery']",4.4,6229,Magn.,100.0,6.441,2013-01-11,4.4,66,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0
tt1991245,Chernobyl Diaries,"['Horror', 'Mystery', 'Thriller']",5.0,60304,WB,18100000.0,14.658,2012-05-25,5.0,842,5,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0
